Market Scenario,Probability Threshold,Date Enough Applications Are Sent,Fast Offer Arrival Estimate,Base Offer Arrival Estimate,Slow Offer Arrival Estimate,Cumulative Applications
Pessimistic,0.25,2026-07-08,2026-08-15,2026-09-16,2026-11-02,287.0
Pessimistic,0.5,2026-08-10,2026-09-17,2026-10-19,2026-12-05,680.0
Pessimistic,0.7,2026-09-18,2026-10-26,2026-11-27,2027-01-13,1169.0
Pessimistic,0.8,2026-10-21,2026-11-28,2026-12-30,2027-02-15,1562.0
Base Case,0.25,2026-06-26,2026-08-03,2026-09-04,2026-10-21,149.0
Base Case,0.5,2026-07-14,2026-08-21,2026-09-22,2026-11-08,356.0
Base Case,0.7,2026-08-05,2026-09-12,2026-10-14,2026-11-30,627.0
Base Case,0.8,2026-08-21,2026-09-28,2026-10-30,2026-12-16,829.0
Base Case,0.9,2026-09-21,2026-10-29,2026-11-30,2027-01-16,1190.0
Optimistic,0.25,2026-06-23,2026-07-31,2026-09-01,2026-10-18,101.0
Optimistic,0.5,2026-07-02,2026-08-09,2026-09-10,2026-10-27,218.0
Optimistic,0.7,2026-07-15,2026-08-22,2026-09-23,2026-11-09,372.0
Optimistic,0.8,2026-07-24,2026-08-31,2026-10-02,2026-11-18,489.0
Optimistic,0.9,2026-08-11,2026-09-18,2026-10-20,2026-12-06,696.0
Very Harsh Market,0.25,2026-06-24,2026-08-01,2026-09-02,2026-10-19,117.0
Very Harsh Market,0.5,2026-07-08,2026-08-15,2026-09-16,2026-11-02,287.0
Very Harsh Market,0.7,2026-07-24,2026-08-31,2026-10-02,2026-11-18,489.0
Very Harsh Market,0.8,2026-08-06,2026-09-13,2026-10-15,2026-12-01,643.0
Very Harsh Market,0.9,2026-08-31,2026-10-08,2026-11-09,2026-12-26,935.0
Brutal Cold Market,0.25,2026-07-01,2026-08-08,2026-09-09,2026-10-26,202.0
Brutal Cold Market,0.5,2026-07-23,2026-08-30,2026-10-01,2026-11-17,473.0
Brutal Cold Market,0.7,2026-08-20,2026-09-27,2026-10-29,2026-12-15,813.0
Brutal Cold Market,0.8,2026-09-11,2026-10-19,2026-11-20,2027-01-06,1084.0
Brutal Cold Market,0.9,2026-10-20,2026-11-27,2026-12-29,2027-02-14,1546.0
Near Worst Case,0.25,2026-07-09,2026-08-16,2026-09-17,2026-11-03,303.0
Near Worst Case,0.5,2026-08-11,2026-09-18,2026-10-20,2026-12-06,696.0
Near Worst Case,0.7,2026-09-22,2026-10-30,2026-12-01,2027-01-17,1206.0
Near Worst Case,0.8,2026-10-26,2026-12-03,2027-01-04,2027-02-20,1615.0
