Scenario,Target Probability,Date Reached,Calendar Days From Start,Cumulative Applications
Pessimistic,0.25,2026-07-08,22.0,287.0
Pessimistic,0.5,2026-08-10,55.0,680.0
Pessimistic,0.7,2026-09-18,94.0,1169.0
Pessimistic,0.8,2026-10-21,127.0,1562.0
Pessimistic,0.9,Beyond Projection,,
Base Case,0.25,2026-06-26,10.0,149.0
Base Case,0.5,2026-07-14,28.0,356.0
Base Case,0.7,2026-08-05,50.0,627.0
Base Case,0.8,2026-08-21,66.0,829.0
Base Case,0.9,2026-09-21,97.0,1190.0
Optimistic,0.25,2026-06-23,7.0,101.0
Optimistic,0.5,2026-07-02,16.0,218.0
Optimistic,0.7,2026-07-15,29.0,372.0
Optimistic,0.8,2026-07-24,38.0,489.0
Optimistic,0.9,2026-08-11,56.0,696.0
Very Harsh Market,0.25,2026-06-24,8.0,117.0
Very Harsh Market,0.5,2026-07-08,22.0,287.0
Very Harsh Market,0.7,2026-07-24,38.0,489.0
Very Harsh Market,0.8,2026-08-06,51.0,643.0
Very Harsh Market,0.9,2026-08-31,76.0,935.0
Brutal Cold Market,0.25,2026-07-01,15.0,202.0
Brutal Cold Market,0.5,2026-07-23,37.0,473.0
Brutal Cold Market,0.7,2026-08-20,65.0,813.0
Brutal Cold Market,0.8,2026-09-11,87.0,1084.0
Brutal Cold Market,0.9,2026-10-20,126.0,1546.0
Near Worst Case,0.25,2026-07-09,23.0,303.0
Near Worst Case,0.5,2026-08-11,56.0,696.0
Near Worst Case,0.7,2026-09-22,98.0,1206.0
Near Worst Case,0.8,2026-10-26,132.0,1615.0
Near Worst Case,0.9,Beyond Projection,,
